ELECCIÓN DE GOBERNADOR DEL ESTADO DE MÉXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2017 13:00 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_FUERA_DE_CATÁLOGO,ACTAS_REGISTRADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18606,0,18173,18173,97.6727,17772,97.7934,2.2065,401,52.4964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_estado,estado,id_distrito_local,distrito_local,seccion,id_casilla,tipo_casilla,extraordinariacontigua,ubicacion_casilla,tipo_de_acta,boletas_sobrantes,total_ciudadanos_votaron,num_boletas_extraidas,pan,pri,prd,pt,pvem,na,morena,pes,c_pri_pvem_na_pes,c_pri_pvem_na,c_pri_pvem_pes,c_pri_na_pes,c_pri_pvem,c_pri_na,c_pri_pes,c_pvem_na_pes,c_pvem_na,c_pvem_pes,c_na_pes,cand_ind_1,no_registrados,nulos,total_votos,lista_nominal,observaciones,contabilizada,mecanismo_de_traslado,sha,fecha_hora_acopio,fecha_hora_captura,fecha_hora_registro
15,Estado de México,16,CIUDAD ADOLFO LOPEZ MATEOS,314,1,B,0,1,2,356,272,0,55,59,22,3,11,1,111,1,2,SIN DATO,SIN DATO,SIN DATO,2,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,7,0,6,280,612,,1,DAT,d80d75ffebb1e9460d02edd04a6aa5a3bc315713020fd30eed6729b34a0994ca,04/06/2017 19:36,04/06/2017 19:43,04/06/2017 19:49
15,Estado de México,41,NEZAHUALCOYOTL,3513,1,C,0,1,2,284,254,254,11,53,135,1,1,0,41,2,0,0,0,0,1,0,0,0,0,0,0,1,0,8,254,520,,1,DAT,9c299515c3d0c23ac112a4a3c871f2a21c4ddc2894dae0a494983d3a32854c75,04/06/2017 19:39,04/06/2017 19:44,04/06/2017 19:50
15,Estado de México,30,NAUCALPAN DE JUAREZ,2709,1,B,0,1,2,133,29,35,10,10,4,SIN DATO,1,2,4,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4,0,0,35,150,,1,DAT,477732b2b4619820b5c65bd6431bf392fc1e599ce670586829999fddd1fdb3e3,04/06/2017 19:42,04/06/2017 19:46,04/06/2017 19:48
15,Estado de México,25,NEZAHUALCOYOTL,3062,1,B,0,1,2,317,269,270,6,54,130,6,1,1,56,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4,0,12,270,569,,1,DAT,4c88768c3eca77566b5ca014756bf82328385eb4cd4890702d6f237494bdb4ec,04/06/2017 19:20,04/06/2017 19:46,04/06/2017 19:52
15,Estado de México,23,TEXCOCO DE MORA,4636,2,C,0,2,2,328,355,361,19,74,34,1,9,2,201,2,0,0,0,1,2,0,0,0,0,0,0,6,0,10,361,672,,1,DAT,d8603c27654c97a0059deb6bf621dc7b719bd67c897f71ddcd4c6eb39407faa6,04/06/2017 19:43,04/06/2017 19:47,04/06/2017 19:50
15,Estado de México,25,NEZAHUALCOYOTL,3478,1,C,0,1,2,259,297,301,5,36,188,1,SIN DATO,3,50,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4,1,11,301,542,,1,DAT,bc0071642c6ccfa1f2e58f32cb6d178d6ebb1cc14b4834b73e7e1a3927d5df9d,04/06/2017 19:41,04/06/2017 19:48,04/06/2017 19:55
15,Estado de México,25,NEZAHUALCOYOTL,3471,1,C,0,1,2,255,245,250,11,45,124,1,2,3,53,2,0,0,0,0,0,0,0,0,0,0,0,2,1,6,250,487,,1,DAT,046bc9dbbc2294d4ac56cad9e5b10a80337c4e8dc71abf1b6863a8430e049023,04/06/2017 19:24,04/06/2017 19:49,04/06/2017 19:50
15,Estado de México,30,NAUCALPAN DE JUAREZ,2875,1,B,0,1,2,282,163,163,27,70,6,0,1,3,42,1,0,0,0,0,0,0,0,0,0,0,0,6,0,7,163,428,,1,DAT,82491bdfc1ef9b135e1592d33d70aec72deb8593a55b83ab338f6b69655484f2,04/06/2017 19:47,04/06/2017 19:49,04/06/2017 19:52
15,Estado de México,41,NEZAHUALCOYOTL,3530,1,B,0,1,2,261,212,216,10,52,119,1,2,0,23,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,216,459,,1,DAT,96c51c6d4e88ca2befcf64430b2b78250fac109626584d7248fd201bcfd078b0,04/06/2017 19:36,04/06/2017 19:49,04/06/2017 19:52
15,Estado de México,31,LOS REYES ACAQUILPAN,3971,1,C,0,1,2,271,268,268,8,90,79,0,2,7,64,2,0,1,0,0,0,3,0,0,0,0,0,2,0,10,268,520,,1,DAT,bc24bab875341b30569ee14897cc16310fe9d21c7f36911d316756516f7416b9,04/06/2017 19:45,04/06/2017 19:51,04/06/2017 19:54
